,surname,name,org,region,year
66,Гаттаров,Руслан,Член Совета Федерации Федерального Собрания РФ,Россия,2012
67,Касперская,Наталья,"Генеральный директор Группы компаний InfoWatch, сооснователь «Лаборатории Касперского»",Россия,2012
68,Колесников,Андрей,Директор Координационного центра национального домена сети Интернет,Россия,2012
69,Морен,Майкл,"Заместитель Директора отдела  кибербезопасности  и преступлений в сфере  электронных коммуникаций, ИНТЕРПОЛ",Интерпол,2012
70,Мосс,Джефф,Вице-президент ICANN,США,2012
71,Мошков,Алексей,"Начальник Бюро специальных технических мероприятий, генерал-майор полиции",Россия,2012
72,Ригони,Андреа,"Генеральный директор «Мирового центра кибербезопасности», GC-SEC",Италия,2012
73,Робачевский,Андрей,"Директор по Программам, Internet Society",Нидерланды,2012
74,Шлегель,Роберт,Государственная Дума РФ,Россия,2012
75,Щёголев,Игорь,Министр связи и массовых коммуникаций Российской Федерации,Россия,2012
76,Александрова-Мясина,Ольга,Координационный центр доменов .RU/.РФ,Россия,2013
77,Буайя,Филипп,Совет Европы,Швейцария,2013
78,Бунимович,Евгений,Уполномоченный по правам ребенка в г. Москве,Россия,2013
79,Гаттаров,Руслан,Совет Федерации РФ,Россия,2013
80,Грицай,Георгий,Министерство связи и массовых коммуникаций РФ,Россия,2013
81,де ля Шапель,Бертран,"Проект ""Интернет и юрисдикция""",Франция,2013
82,Дегезелле,Вим,CENTR - European ccTLD organisation,Бельгия,2013
83,Демидов,Олег,ПИР-Центр,Россия,2013
84,Джайлз,Кир,Центр по изучению конфликтов (CSRC),Великобритания,2013
85,Донк,Фредерик,ISOC,Швейцария,2013
86,Задорин,Игорь,"Исследовательская группа ""Циркон""",Россия,2013
87,Зинина,Ульяна,Microsoft,Россия,2013
88,Зотов,Сергей,Webnames.ru,Россия,2013
89,Карклиньш,Янис,ЮНЕСКО,Латвия,2013
90,Карр,Джон,Британский совет по безопасности детей в интернете (UKCCIS),Великобритания,2013
91,Касенова,Мадина,Дипломатическая Академия МИД России,Россия,2013
92,Клименко,Герман,Liveinternet.ru,Россия,2013
93,Кляйнвайхтер,Вольфганг,Университет Орхуcа,Германия,2013
94,Комайтис,Константинос,ISOC,Швейцария,2013
95,Королюк,Алексей,Регистратор доменных имен РЕГ.РУ,Россия,2013
96,Кохманюк,Дмитрий,Хостмастер,Украина,2013
97,Крокер,Стив,ICANN,США,2013
98,Крус,Нели,Европейская Комиссия,Россия,2013
99,Ларина,Екатерина,Министерство связи и массовых коммуникаций РФ,Россия,2013
100,Лукацкий,Алексей,Cisco,Россия,2013
101,Мамонтов,Владимир,Фонд «Разумный Интернет»,Россия,2013
102,Марковски,Вени,ICANN,Болгария,2013
103,Массух,Илья,Фонд информационной демократии,Россия,2013
104,Милошевич,Дезире,ISOC,Великобритания,2013
105,Мосс,Джефф,ICANN,США,2013
106,Никерова,Марина,Технический центр Интернет,Россия,2013
107,Никифоров,Николай,Министр связи и массовых коммуникаций РФ,Россия,2013
108,Носетти,Жюльен,Французский институт международных отношений,Франция,2013
